container_id,n_points,wpe_m4_t1
bb_1005,8640,0.9029734239573816
bb_1007,8640,0.8585007841416211
bb_183,7291,0.8642290027683114
bb_184,7289,0.8701137125639102
bb_185,7289,0.8563260571798552
bb_186,7287,0.867256361525082
bb_187,7288,0.8742007091418985
bb_188,7287,0.8569676190509388
bb_189,7289,0.8651970984615838
bb_190,7288,0.8498931483219341
bb_191,7286,0.8497253456634902
bb_192,7289,0.8720062689234014
bb_193,7289,0.8665569265425189
bb_194,7290,0.8823675333190485
bb_195,7291,0.8423319591617139
bb_196,7289,0.8625360582654613
bb_197,7289,0.8510887865951233
bb_198,7286,0.8462935927635534
bb_199,7290,0.8701045428776895
bb_200,9945,0.8647108839130461
bb_201,7288,0.8660545767772699
bb_202,7285,0.8517585374931523
bb_203,7288,0.8489601335512724
bb_204,7287,0.8497456080398701
bb_205,7289,0.8515055443308204
bb_206,7290,0.8373553371564647
bb_207,7286,0.8577783724097171
bb_208,7287,0.8524345466182636
bb_209,7503,0.712685817520817
bb_210,7287,0.8722430881160507
bb_211,7506,0.7140307489005892
bb_212,7291,0.8646645328690298
bb_213,7508,0.7052372582120011
bb_214,7289,0.8694254767722346
bb_215,7287,0.8747458814192468
bb_216,7293,0.8762515778454778
bb_217,7289,0.8822743414912297
bb_219,7494,0.6808934905451482
bb_220,7477,0.6941824793227906
bb_221,7470,0.6989294163269248
bb_222,7475,0.7036453262543675
bb_223,7477,0.6838666854512416
bb_224,7477,0.7022217843342295
bb_225,7476,0.6758650044187423
bb_226,7471,0.6916087740650875
bb_227,7468,0.6918156164109447
bb_228,7470,0.6716867820939262
bb_229,7488,0.6941528070936331
bb_230,7471,0.6952342461158426
bb_231,7472,0.7173238619596076
bb_232,7472,0.725210018938006
bb_233,7469,0.7240991726957046
bb_234,7469,0.71950722667945
bb_235,7469,0.7211374790508633
bb_236,7468,0.7397830033742555
bb_237,7469,0.751881040180115
bb_238,7470,0.7422565049903495
bb_239,8615,0.7347107661541683
bb_240,8615,0.7297610182956037
bb_241,8618,0.7311867271506266
bb_242,8616,0.72632024985274
bb_243,8617,0.7075415063081172
bb_244,8615,0.7437887782507379
bb_245,8619,0.7515199884231604
bb_246,8612,0.7500376604554608
bb_247,8615,0.7200423194457183
bb_248,8619,0.743720656047732
bb_249,8614,0.7024265615311195
bb_250,8616,0.7172222731213003
bb_251,8616,0.7039460096736183
bb_252,8615,0.732226008320854
bb_253,8617,0.7304582754458572
bb_254,8613,0.7169846549910417
bb_255,8617,0.714194289069309
bb_256,8617,0.7201049253729856
bb_257,8615,0.7064462489758582
bb_258,8615,0.7065724316345993
bb_259,8617,0.721286118149768
bb_260,8614,0.725323766334118
bb_261,8614,0.7028662082482269
bb_262,8612,0.7278275560598803
bb_263,8617,0.7113636920378958
bb_264,8616,0.7221272795378001
bb_265,8614,0.7262016177325573
bb_266,8614,0.6846807375739461
bb_267,8617,0.7273884854067375
bb_268,8618,0.6995911923680451
bb_269,8619,0.7117598311345292
bb_270,8619,0.7022133311526778
bb_271,8620,0.7036304489704347
bb_272,8617,0.762612002116861
bb_273,8615,0.7474286914874112
bb_274,8618,0.7468588744341695
bb_275,8617,0.7408265865879516
bb_276,8618,0.7422320299798081
bb_277,8617,0.7091748869651489
bb_278,8617,0.7320153754192948
bb_279,8617,0.7022736457988699
bb_280,8615,0.7166564020882015
bb_281,8614,0.7299399988116532
bb_282,8615,0.7168006655942255
bb_283,8619,0.7536815911372515
bb_284,8612,0.7215669700114684
bb_285,8619,0.7481469949187747
bb_286,8612,0.7301490889905261
bb_287,8615,0.7224976067838262
bb_288,8616,0.7280272701480505
bb_289,8611,0.7174367373495245
bb_290,8616,0.7199488281133607
bb_291,8615,0.734905147071284
bb_329,8614,0.9432945243336441
bb_596,8632,0.8641129743205471
bb_597,8635,0.6664675271464972
bb_598,8637,0.6542050579196891
bb_599,8634,0.5572354993003038
bb_609,8616,0.7358328023064311
bb_610,8616,0.7210864601968081
bb_611,8615,0.706363645429001
bb_612,8618,0.7367893940601702
bb_613,8617,0.7489296239877895
bb_617,8616,0.6948111710940036
bb_618,8617,0.7004755764725031
bb_619,8616,0.7022921966249457
bb_620,8617,0.6804109442963692
bb_621,8613,0.6917995879136061
bb_622,8616,0.6880514316811795
bb_708,8633,0.7007318293819087
bb_709,8635,0.6551070810513195
bb_710,8633,0.7036611953164108
bb_711,8633,0.686963333740478
bb_712,8635,0.6822635180359891
bb_713,8634,0.6600067179780552
bb_714,8635,0.6936663481497137
bb_715,8636,0.6720527615485358
bb_716,8636,0.674139510937883
bb_718,8637,0.9488823003370512
bb_723,8634,0.7332834403755812
bb_735,8612,0.9482767477209656
bb_812,8615,0.9047468187270994
bb_826,8617,0.9228026894953977
bb_827,8614,0.89453978022147
bb_846,8635,0.9310205044189244
