container_id,n_points,mean_cpu,cv,hurst,acf_1h,acf_24h,omega
c_52834,1613,3.6143831370117794,0.24896858043145706,0.6870757864742325,0.13752450459951865,0.09757572178207403,0.19935564306408748
c_28985,1613,4.376317420954742,0.7055569170438958,0.8101871806820211,0.3467839519300457,0.3587118052746204,0.32650655328653244
c_9142,1613,8.567265964042157,0.6715501722740065,0.8828476409355973,0.757741613929098,0.6561642401767717,0.5437847924979854
c_49690,1613,27.1828890266584,0.4310095049901658,0.8586269376985451,0.8555534938336329,0.9017332856619051,0.6629521113002879
c_52446,1613,26.472411655300682,0.34749305141730424,0.8954200760156408,0.8908562552652627,0.9401919867403765,0.7058575892007106
c_38259,1613,20.533168009919404,0.3481640529428017,0.9375819383027282,0.8600529492443563,0.883978686940738,0.6711811398251122
c_49622,1613,4.009299442033478,0.3800424817349438,0.6721553157683722,0.09258730962357636,0.11805065209628213,0.19494383566051454
c_60318,1613,2.097334159950403,0.40568063107847274,0.7233648477021486,-0.012329524846816972,0.006084509417834138,0.18717298721016262
c_12903,1613,6.305021698698078,0.21521338977216917,0.6468870307334366,0.10264461080183086,0.02607701384922222,0.1183780110423247
c_3733,1613,3.1599504029758214,0.13664474866391893,0.6585408252280631,0.16218130117588472,0.02836338528032637,0.15379408285978347
c_52201,1613,7.822070675759455,0.25369626812202745,0.794408734641862,0.3171659105930613,0.24851448269770865,0.3095603048236856
c_70697,1613,21.975201487910724,0.3030549678249775,0.9095529933911275,0.8610217849756157,0.881435748347522,0.6684926801453013
c_54473,1613,5.353998760074395,0.31510253117613124,0.8820244202182822,0.7384169144717194,0.6704907648480964,0.5541221852711543
c_24853,1613,1.9962802231866088,0.4558908896011482,0.7017559268612618,0.259449843398842,0.08862853090968979,0.24173819477263359
c_11203,1613,16.848109113453194,0.3687410709503986,0.90461945557003,0.871294091253025,0.9277918404393568,0.677179884680051
c_35021,1613,7.690018598884067,0.6599399241977907,0.8847488113946056,0.8342992271712517,0.8487578936444065,0.6496030559384685
